COUNTY,TX_SIGNED_HIGHWAY_RDBD_ID,TX_CONDITION_SCORE,TX_DISTRESS_SCORE,TX_RIDE_SCORE,TX_AADT_CURRENT,TX_MAINTENANCE_COST_AMT
Taylor,FM0089 K,28.58,100.0,1.86,31068.98,202.16
Taylor,FM1750 K,23.51,100.0,1.73,5336.85,4.01
Taylor,FM3438 K,84.0,100.0,2.89,6116.0,28112.0
Taylor,IH0020 L,100.0,100.0,3.76,11219.0,1672.0
Taylor,IH0020 R,100.0,100.0,3.85,12575.88,1180.45
Taylor,SH0351 R,31.0,100.0,1.94,14010.0,
Taylor,US0083 L,89.26,89.29,3.81,14051.96,771.22
Taylor,US0083 R,93.89,94.05,3.95,13803.3,820.72
Titus,BU0271EK,68.12,96.82,2.79,16773.65,731.4
Titus,BU0271EL,83.76,100.0,3.36,8249.07,146.92
Titus,FM0021 K,100.0,100.0,2.99,1287.13,5372.91
Titus,FM0127 K,100.0,100.0,3.75,3707.0,133.0
Titus,FM0899 K,0.0,0.0,2.0,3200.0,
Titus,FM1402 K,58.44,99.89,2.49,4681.0,1251.89
Titus,FM4000 K,100.0,100.0,3.35,3000.0,1284.75
Titus,SH0049 K,14.01,93.81,1.01,15605.25,0.1
Titus,SH0049 L,3.95,39.95,1.24,7717.39,799.27
Titus,SH0049 R,10.61,85.2,1.35,8265.6,805.97
Titus,SS0134 K,0.0,0.01,1.79,1714.28,0.0
Titus,SS0185 K,47.08,98.38,1.66,1330.85,28.31
Titus,US0067 K,45.89,80.45,2.48,8521.76,4295.99
Titus,US0271 A,100.0,100.0,3.85,499.0,1442.71
Titus,US0271 L,87.98,93.02,3.68,6709.61,1680.14
Titus,US0271 R,90.44,96.37,3.67,6508.48,1694.58
Titus,US0271 X,88.78,97.13,3.52,2035.96,1370.36
Tom Green,US0067 A,100.0,100.0,3.81,12300.78,168.11
Travis,FM0969 K,74.2,90.2,2.93,37376.4,250.0
Travis,IH0035 L,99.86,100.0,3.77,72449.24,829.91
Travis,IH0035 R,98.81,99.45,3.52,73486.0,839.9
Travis,RM0620 L,100.0,100.0,3.27,16999.5,708.0
Travis,RM0620 R,92.0,100.0,3.11,16999.5,708.0
Travis,SH0045 L,98.84,99.67,4.0,6789.95,169.68
Travis,SH0045 R,76.49,99.82,3.9,5282.19,111.4
Travis,SH0071 L,98.55,99.53,3.74,37018.6,638.91
Travis,SH0071 R,99.74,99.8,3.82,36768.87,644.27
Travis,SH0130 A,97.82,99.15,3.49,2408.38,4836.0
Travis,SH0130 L,90.94,96.89,3.79,12140.62,2311.42
Travis,SH0130 R,91.2,96.25,3.86,12125.05,2262.93
Travis,SH0130 X,98.48,99.04,3.35,2230.52,5385.95
Travis,SH0165 K,,100.0,0.19,2052.0,218904.0
Travis,SL0001 L,99.02,99.39,3.83,31304.91,5786.54
Travis,SL0001 R,52.53,99.99,2.04,29121.16,258.01
Travis,SL0360 L,100.0,100.0,3.33,42364.93,498.0
Travis,SL0360 R,84.0,100.0,2.9,47801.0,
Travis,US0183 A,90.13,94.47,3.27,7765.87,99.28
Travis,US0183 L,92.72,95.54,3.5,54012.22,523.77
Travis,US0183 R,93.65,95.82,3.57,54757.49,515.34
Travis,US0183 X,92.92,99.38,3.25,8402.89,64.06
Travis,US0290 L,95.38,98.44,3.68,36302.68,457.9
Travis,US0290 R,91.23,97.96,3.53,36410.33,457.86
Trinity,SH0019 K,100.0,100.0,3.39,8610.43,3979.61
Trinity,SH0094 K,100.0,100.0,3.8,3221.0,223.0
Tyler,RE0255 K,,,3.2,568.0,0.0
Tyler,US0069 K,47.25,50.0,3.2,6300.0,949.0
Upshur,FM1844 K,10.25,100.0,1.31,4102.62,474.06
Upshur,SH0155 K,92.0,100.0,3.04,6826.0,478.0
Upshur,SH0155 L,86.51,100.0,2.95,3735.35,140.17
Upshur,SH0300 K,38.66,60.56,2.56,8773.22,1829.87
Upshur,US0080 K,27.83,39.33,2.68,8433.33,3410.2
Upshur,US0259 K,75.1,100.0,2.9,12697.1,1309.3
Upshur,US0259 R,0.0,100.0,0.0,5350.0,4.0
Upshur,US0271 K,98.56,99.86,3.98,21781.25,4325.89
Upshur,US0271 L,99.24,99.24,3.96,7531.75,4122.34
Uvalde,SH0127 K,41.25,100.0,1.68,1191.75,1135.0
Val Verde,SS0297 L,0.0,100.0,0.0,5977.47,164.99
Val Verde,SS0297 R,4.17,83.33,0.78,5972.9,137.47
Val Verde,UP0277 K,1.0,99.0,0.02,6762.0,11.0
Val Verde,US0090 K,73.61,99.18,2.75,25860.94,2550.78
Val Verde,US0277 L,24.95,93.23,1.51,8920.27,953.97
Val Verde,US0277 R,5.22,78.76,0.63,8190.16,1529.68
Van Zandt,IH0020 L,94.54,94.55,4.6,18604.42,2662.71
Van Zandt,IH0020 R,90.26,90.33,4.32,18509.96,2675.35
Van Zandt,IH0020 X,100.0,100.0,3.68,183.33,3535.23
Van Zandt,SH0019 K,72.35,91.22,3.07,12994.59,5332.67
Van Zandt,SH0110 K,2.25,91.5,0.3,3960.5,77.25
Victoria,BU0077SK,100.0,100.0,2.9,1839.0,
Victoria,FM0616 K,53.0,100.0,1.9,1050.0,7.0
Victoria,SL0175 A,0.0,100.0,0.0,72.0,0.0
Victoria,SL0175 X,0.0,100.0,0.0,58.0,0.0
Victoria,US0059 A,6.58,68.55,1.11,1405.01,1406.61
Victoria,US0059 R,27.25,32.67,3.01,7933.33,
Victoria,US0059 X,19.07,67.94,1.37,883.96,1840.47
Victoria,US0077 K,96.4,96.4,3.83,11242.99,10813.23
Victoria,US0077 L,100.0,100.0,4.1,8348.0,84.0
Victoria,US0077 R,100.0,100.0,4.2,8348.0,84.0
Victoria,US0087 K,53.47,100.0,2.39,14163.09,778.48
Walker,FM1374 K,65.0,100.0,2.6,3242.5,37.0
Walker,FM1375 K,50.0,100.0,2.23,6157.0,3999.5
Walker,IH0045 A,84.07,91.08,2.62,82.27,303.23
Walker,IH0045 L,99.17,99.17,4.15,24127.45,912.16
Walker,IH0045 R,99.01,99.33,4.09,24219.44,857.67
Walker,IH0045 X,97.41,100.0,3.41,1477.87,1376.84
Walker,PR0040 K,100.0,100.0,3.03,1800.0,8.0
Walker,SH0019 L,100.0,100.0,4.34,6072.0,5409.5
Walker,SH0019 R,95.0,95.0,4.33,6130.33,4597.0
Walker,SH0030 A,72.0,100.0,2.21,1039.0,215.0
Walker,SH0030 L,99.61,100.0,3.56,6838.71,1012.49
Walker,SH0030 R,99.07,100.0,3.51,6838.71,1012.49
Walker,SH0150 K,87.76,94.98,3.31,3366.07,30.15
Walker,US0190 K,45.58,100.0,2.25,24325.81,448.75
Waller,FM0359 K,89.72,100.0,3.28,4061.67,0.27
Waller,FM0359 L,98.23,99.98,3.61,1660.81,308.48
Waller,FM0359 R,94.01,100.0,3.49,1661.91,312.2
Waller,FM0529 K,100.0,100.0,2.89,1477.13,49.1
Waller,FM1098 K,45.53,90.0,2.32,9415.59,380.28
Waller,FM1774 K,100.0,100.0,4.48,7382.07,
Waller,IH0010 A,91.53,95.16,3.11,275.6,448.41
Waller,IH0010 L,95.85,96.76,3.75,25541.48,696.14
Waller,IH0010 R,97.4,98.52,3.68,26248.04,726.86
Waller,IH0010 X,80.19,83.81,3.01,748.42,317.69
Waller,SH0006 K,83.64,99.53,3.04,20639.54,135.32
Waller,SH0006 L,66.67,66.67,3.47,8550.0,14.5
Waller,SH0006 R,66.67,66.67,3.83,8550.0,14.5
Waller,SH0159 K,0.0,100.0,0.42,4004.11,713.13
Waller,US0290 A,98.99,98.99,3.75,1864.6,1376.8
Waller,US0290 L,97.56,97.64,3.99,18528.23,1043.19
Waller,US0290 R,95.56,95.7,3.93,18280.56,1029.06
Waller,US0290 X,87.51,87.51,3.62,1106.83,1492.06
Washington,BS0036JK,30.5,100.0,1.92,16325.5,14.0
Washington,BU0290FL,95.0,100.0,2.6,1498.0,
Washington,BU0290FR,68.83,100.0,2.09,1432.39,14.0
Washington,FM0577 K,35.83,100.0,2.03,5796.46,831.54
Washington,FM0912 K,38.31,48.89,1.91,294.29,800.19
Washington,FM1155 K,37.51,52.06,2.15,977.14,1745.44
Washington,SH0036 A,88.15,100.0,2.14,297.46,312.91
Washington,SH0036 K,80.95,100.0,3.52,14212.9,345.95
Washington,SH0036 R,100.0,100.0,4.02,6829.17,806.13
Washington,SH0036 X,97.61,100.0,3.14,224.91,396.01
Washington,US0290 A,38.0,100.0,2.1,8248.0,163.0
Washington,US0290 L,86.93,88.4,3.37,11024.78,2295.87
Washington,US0290 R,91.14,92.92,3.39,11103.9,2269.42
Webb,BI0035AL,50.5,100.0,1.7,4918.33,
Webb,BU0059ZL,42.21,96.8,2.18,17147.0,0.0
Webb,BU0059ZR,41.38,89.24,2.0,17167.57,0.0
Webb,FM1472 A,59.58,89.67,1.77,892.72,79.91
Webb,FM1472 K,86.8,90.0,3.45,9860.0,24.7
Webb,FM1472 L,79.41,92.91,3.15,15646.06,203.03
Webb,FM1472 R,67.13,96.1,2.81,15912.13,222.0
Webb,FM1472 X,58.63,97.49,1.69,899.62,82.83
Webb,IH0035 A,67.57,82.76,2.82,1720.34,1762.72
Webb,IH0035 L,60.57,80.99,2.96,20000.21,1020.9
Webb,IH0035 R,68.41,85.35,3.05,19174.01,976.33
Webb,IH0035 X,77.01,94.4,2.75,4752.24,1279.11
Webb,IH0069WA,99.71,99.71,4.18,7642.19,0.0
Webb,IH0069WL,96.37,99.34,4.15,11471.18,0.0
Webb,IH0069WR,97.16,97.16,4.25,11473.41,0.0
Webb,IH0069WX,99.65,99.65,4.06,6108.73,0.0
Webb,SH0044 K,18.5,57.5,1.45,1657.5,
Webb,SH0255 L,25.0,100.0,1.3,1436.85,0.0
Webb,SL0020 A,74.76,88.64,2.83,2433.27,0.0
Webb,SL0020 L,81.61,86.02,3.26,12752.58,0.0
Webb,SL0020 R,78.07,85.69,3.05,12730.58,0.0
Webb,SL0020 X,81.95,91.95,3.18,705.19,0.0
Webb,SS0259 K,0.0,92.0,0.0,36373.0,
Webb,SS0259 L,22.12,92.6,1.43,9753.21,0.0
Webb,SS0259 R,2.21,52.9,0.75,9383.64,0.0
Webb,US0059 A,32.0,100.0,1.95,5902.5,0.0
Webb,US0059 L,98.27,98.27,3.91,21409.57,1.71
Webb,US0059 R,84.1,97.8,3.35,21452.67,1.71
Webb,US0059 X,55.67,99.33,2.45,7202.67,0.0
Webb,US0083 L,31.9,70.72,2.14,19199.43,257.96
Webb,US0083 R,63.0,100.0,2.57,18584.0,228.0
Wharton,US0059 A,0.0,81.71,0.0,3.76,83.59
Wharton,US0059 L,71.78,82.53,3.14,7873.26,293.76
Wharton,US0059 R,72.42,82.86,3.26,7840.58,302.73
Wheeler,IH0040 A,46.48,47.88,2.57,286.55,334.33
Wheeler,IH0040 L,93.84,94.2,4.06,6279.56,321.02
Wheeler,IH0040 R,92.71,93.6,4.0,6286.64,349.89
Wichita,BU0277AR,4.0,40.98,1.27,4591.81,206.5
Wichita,BU0287JK,14.4,62.22,1.39,10048.78,58.84
Wichita,FM0171 K,12.32,82.42,0.66,4572.61,3.55
Wichita,FM0369 A,3.5,6.5,1.95,2.0,118.0
Wichita,FM0369 L,58.87,94.61,2.39,7257.53,316.22
Wichita,FM0369 R,41.7,96.82,2.0,7077.56,320.83
Wichita,FM0369 X,5.5,55.5,1.6,2.0,118.0
Wichita,FM0890 K,55.0,100.0,1.94,3825.0,17.0
Wichita,FM2380 K,59.25,100.0,2.5,3921.0,4.0
Wichita,FM3492 L,64.5,100.0,2.1,585.0,177.0
Wichita,FM3492 R,31.0,81.0,1.65,585.0,177.0
Wichita,IH0044 A,71.34,80.82,2.52,723.75,1543.45
Wichita,IH0044 L,40.53,52.51,2.79,20931.33,1386.0
Wichita,IH0044 R,62.52,71.93,3.14,20739.04,1648.19
Wichita,IH0044 X,55.6,71.15,2.28,891.98,1492.06
Wichita,SH0079 K,29.57,83.38,1.93,11706.67,691.0
Wichita,SH0079 L,33.61,77.94,1.88,7057.73,6196.56
Wichita,SH0079 R,25.39,41.4,2.41,7140.25,6196.56
Wichita,SH0079 X,92.0,100.0,2.58,384.5,234.0
Wichita,SH0240 L,36.16,65.97,1.97,3283.66,219.54
Wichita,SH0240 R,32.22,55.38,2.02,3283.66,224.2
Wichita,SS0325 L,19.12,41.75,1.98,11828.75,0.0
Wichita,SS0325 R,37.61,65.0,2.54,10331.94,0.0
Wichita,SS0447 L,73.89,91.32,2.4,3377.64,164.62
Wichita,SS0447 R,84.35,90.38,2.7,3247.92,181.63
Wichita,US0082 A,55.95,91.43,2.25,3961.94,928.64
Wichita,US0082 L,65.76,80.91,2.73,15594.3,1548.26
Wichita,US0082 R,62.91,77.19,2.64,14860.94,1723.84
Wichita,US0082 X,48.32,87.42,2.2,7235.16,918.32
Wichita,US0277 A,2.43,15.11,1.24,5537.98,275.05
Wichita,US0277 K,31.88,67.25,1.61,5975.0,1035.86
Wichita,US0277 L,61.04,93.03,2.34,25371.37,324.24
Wichita,US0277 R,53.93,90.44,2.25,25698.97,324.3
Wichita,US0277 X,3.59,9.74,1.37,6492.35,288.93
Wichita,US0281 A,24.47,40.95,1.75,2313.1,2670.11
Wichita,US0281 L,83.32,91.27,3.41,8522.1,464.66
Wichita,US0281 R,96.14,96.42,3.95,8524.3,465.68
Wichita,US0281 X,29.78,44.04,2.24,2765.76,3268.86
Wichita,US0287 L,72.7,78.19,3.6,6808.01,1381.95
Wichita,US0287 R,75.24,81.02,3.65,6801.12,1280.92
Wilbarger,BU0287FL,56.14,66.33,2.68,960.23,424.5
Wilbarger,BU0287FR,55.3,58.04,2.84,907.77,427.26
Wilbarger,SL0488 K,28.0,89.16,1.17,2369.97,0.0
Wilbarger,US0070 A,88.14,92.15,3.19,1538.22,684.67
Wilbarger,US0070 K,60.04,68.16,3.57,4696.04,68.73
Wilbarger,US0070 L,79.89,85.36,3.22,6046.08,668.77
Wilbarger,US0070 R,78.6,88.08,3.01,6304.66,761.96
Wilbarger,US0070 X,88.7,92.04,3.16,1256.56,679.84
Wilbarger,US0183 K,5.75,26.25,1.27,6300.0,0.0
Wilbarger,US0283 K,,,2.7,2063.52,968.93
Wilbarger,US0287 A,51.31,67.6,2.01,376.45,510.06
Wilbarger,US0287 L,76.75,82.19,3.6,6062.1,641.74
Wilbarger,US0287 R,79.19,83.35,3.8,5749.02,568.42
Wilbarger,US0287 X,21.39,38.13,2.04,401.32,503.45
Williamson,IH0035 A,78.36,78.36,2.84,889.42,1482.75
Williamson,IH0035 X,31.0,58.0,1.9,2957.0,3904.0
Williamson,SH0045 A,73.52,100.0,2.93,9451.97,6062.93
Williamson,SH0045 L,99.9,99.9,3.78,17052.61,1091.91
Williamson,SH0045 R,99.48,99.88,3.61,17048.85,1092.16
Williamson,SH0045 X,99.6,100.0,3.5,15430.41,2392.0
Williamson,SH0130 A,97.08,97.08,3.5,2242.85,6308.54
Williamson,SH0130 L,99.29,99.75,3.35,5368.07,111.78
Williamson,SH0130 R,99.77,99.77,3.45,5369.21,111.83
Williamson,SH0130 X,100.0,100.0,3.84,2366.04,7145.23
Williamson,SL0001 L,99.65,99.98,3.32,25464.89,0.0
Williamson,SL0001 R,99.95,99.99,3.67,25464.96,0.0
Williamson,US0183 L,88.03,98.85,3.35,52635.87,256.73
Williamson,US0183 R,76.23,97.94,3.05,53038.68,260.54
Wise,BU0081DK,49.8,50.2,2.5,2900.0,1901.4
Wise,BU0380FK,78.49,100.0,2.85,6210.0,1333.34
Wise,SH0101 K,62.73,91.35,2.56,9508.08,1097.99
Wise,SH0101 L,81.61,83.29,3.41,5860.67,540.5
Wise,SH0101 R,96.19,98.42,3.58,5896.07,561.59
Wise,SH0114 K,73.33,83.28,3.1,9055.1,4298.9
Wise,SH0114 L,87.71,89.49,3.97,8427.89,461.87
Wise,SH0114 R,88.8,91.91,3.69,8492.79,432.84
Wise,SL0373 K,1.0,91.67,0.1,4493.0,7.5
Wise,US0081 A,12.2,60.0,1.02,54.0,346.6
Wise,US0081 L,78.17,82.18,3.43,11073.01,1235.86
Wise,US0081 R,74.92,76.35,3.45,11105.35,1528.56
Wise,US0081 X,53.8,74.35,2.1,1172.24,1497.74
Wise,US0380 K,60.76,80.0,2.79,9419.05,90.41
Wise,US0380 L,84.78,94.64,3.58,7275.58,836.47
Wise,US0380 R,89.71,97.33,3.48,7544.21,889.02
Wood,SH0154 K,,,3.16,3758.0,5.0
Yoakum,FM2055 K,75.0,100.0,2.57,2373.0,111.33
